Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On
Alignment Based Yoga,alignment-based-yoga,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e32,Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Beginner-Friendly Yoga,beginner-friendly-yoga,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e53,Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Dynamic Yoga,dynamic-yoga,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e14,Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Energy Awakening,energy-awakening,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e4b,Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Heated Practice,heated-practice,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e54,Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Meditation and Breathing Techniques,meditation-and-breathing-techniques,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857dff,Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:22 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Mind-Body Wellness,mind-body-wellness,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e58,Sun Nov 05 2023 14:24:24 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:24 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Yoga For Energy,yoga-for-energy,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e56,Sun Nov 05 2023 14:24:23 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:23 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Yoga For Inner Strength,yoga-for-inner-strength,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e55,Sun Nov 05 2023 14:24:23 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:23 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
Yoga For Relaxation,yoga-for-relaxation,65a01548909aacc73d857df8,65a01548909aacc73d857df0,65a01548909aacc73d857e57,Sun Nov 05 2023 14:24:23 GMT+0000 (Coordinated Universal Time),Sun Nov 05 2023 14:24:23 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 14:24:26 GMT+0000 (Coordinated Universal Time)
